BusId,name,rating,zone,allocated_cap
55,LBW_55,646.08,A,345.84000000000003
56,LBW_56,619.16,A,331.42999999999995
57,LBW_57,619.16,A,331.42999999999995
60,LBW_60,807.6,A,432.3
62,LBW_62,390.0,B,209.0
51,LBW_51,865.35,C,463.05
65,LBW_65,961.5,C,514.5
71,LBW_71,96.15,C,51.45
48,LBW_48,1923.0,D,1036.0
45,LBW_45,1274.7,E,682.5000000000001
47,LBW_47,546.3,E,292.5
42,LBW_42,1864.0,F,0.0
39,LBW_39,181.8,G,0.0
77,LBW_77,424.2,G,0.0
74,LBW_74,303.0,H,0.0
82,OSW_82,8250.0,J,816.0
79,LBW_79,60.5,K,0.0
80,LBW_80,60.5,K,0.0
80,OSW_80,3244.0,K,527.0
79,OSW_79,3244.0,K,527.0
